id_boleto,id_pagador,id_beneficiario,dt_emissao,dt_vencimento,dt_pagamento,vlr_nominal,vlr_baixa,tipo_baixa,tipo_especie
00c6dec1b869d310010c8e3741262d7e96b0a622a7cf4096f0d2cca1ffbff3f3,24037765228ca1bce6743570728395541ca481ac79d854fe95bace4710c3cacb,cf98a6d61719ae21047ea999c57051ffcae0809677068ff4c47ee723de337f0c,2024-03-27,2024-05-09,2024-03-29,2714.66,,5 - Baixa integral por solicitacao do cedente,DM DUPLICATA MERCANTIL
6548008e566d8f6696c5561a845248f61bfd2e3891711c5c3d6b199339da8faf,24037765228ca1bce6743570728395541ca481ac79d854fe95bace4710c3cacb,a711fb1183bc159fdcb672d61f9e052cda50f9e0a76e68cc82996df92c2296fc,2024-03-13,2024-05-05,2024-05-06,5522.63,5522.63,1 - Baixa integral intrabancaria,DMI DUPLICATA MERCANTIL INDICACAO
7409b9a978ccf059c68841c2317a3196adfd8d405854fa83825f1e0c8e16bd5d,1c63664185066fb412e0803d751efbde86444efd8c265f0a643396fce7952482,8b4a7a67986a724fbc3ea10174aef547975c3d7257a3b1dc728587eb18938f1a,2024-05-17,2024-05-30,2024-05-27,3338.3,3338.3,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
2ef9ddc070a19a5af5d06c5605dc4fa90dc67052e70ffa4e06fa61eccbe78e57,1c63664185066fb412e0803d751efbde86444efd8c265f0a643396fce7952482,8b4a7a67986a724fbc3ea10174aef547975c3d7257a3b1dc728587eb18938f1a,2024-05-16,2024-05-29,2024-05-20,4519.18,4519.18,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
59e12a5e65532caf3bdb053f0e6d7af3b10a34b6c690296a024b0a1ddd7b5e11,db8c5dc48c47d5ecae33324ee886afa21de700c19d815438b853da6867103000,00ac28a417bb5fe5daeafecd84190e8d794ed1259715028bd671c5ff8e8c03f1,2024-03-28,2024-05-27,2024-05-27,13416.18,13416.18,0 - Baixa integral interbancaria,DMI DUPLICATA MERCANTIL INDICACAO
9f949a04716aff300f4b4aa15a522d05c72815f04216871eedc0b0e57f818f18,ed4a543bd88d5f9fbe0ad08e8625664dcbf48a88f0c74be5e3c75345581946d8,7555178f2f81395332ad054d457f9c897e792a1f3fba162374fc69b6e14b7663,2024-04-26,2024-05-29,2024-05-29,315.26,315.26,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
2830608e9a6eda2315e52da56652773f25f95ca83353c4aaa64061305a7ff38e,8612b5b28f3b97296872168513f241767b8c7e73c7fe995b2c595a2965cf7a86,29cf368feece6b9d17ef511bc15a94f536c8bbc76b4a0e2c1062abc4af4c22e6,2024-05-09,2024-05-29,2024-05-28,237.4,237.4,1 - Baixa integral intrabancaria,DM DUPLICATA MERCANTIL
fc91bfef45bf1a7d715af7c9944aba99d820abc87d4b9acaa94c95676255984a,0970ade0e77b9d5b125c071364da2003aec234dd3dbfbed186e25a74ecacc3d6,46edea84235b7808ebe51dabeeb2252598968a1233e3d65ead549a90cf996c27,2024-04-25,2024-05-16,2024-06-04,1381.73,,8 - Baixa integral por solicitacao da instituicao destinataria,DMI DUPLICATA MERCANTIL INDICACAO
5e30ac0aafc4b4142b78e81af78eec59633154032b0d0c150fc6ad04448d65cf,286cef1c821bd8143754ad2b0c2a61316e0d506e109e5062ff136363b78a371e,a49e591155f859eee79dc680377d9bc4f58a5f5e280af860525f69b33e58a75a,2024-03-19,2024-05-03,2024-11-01,42500.0,,5 - Baixa integral por solicitacao do cedente,DM DUPLICATA MERCANTIL
1c94fde78cde6e20d0f53d96515bd4a26c7a9a5b42b4cfc83dc31cd812c48701,3e069a3004476e6f9e777ad24bf9c990848ef4c20983af875ddc3fb884c72d13,ad759054f8bcd211b801f940ae7f82741de588ad7228b32b80cee5b062b7d99a,2024-04-27,2024-05-07,2024-05-07,6117.54,6117.54,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
b680b83cb99e59fda8155bbf7861cba403252c43b2694f5c84db235fb6217cf6,ab0ba05fcc2a411ff3509efa5270a1d9485159933af147d8851280a61a123ac5,0ec6749c2940057354ac14f334ae3fbadda0430444bcb5818f97e00c98fe4a8f,2024-03-18,2024-05-07,2024-05-07,866.48,866.48,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
ca529ff8ceedd7092a91ea2c3496fc1b29e7663294c760087fcd151b1a86b27d,1af0cf572badd3a8dfe4d6d11b6dcca5cbed76e3e2f6611d07649185aafb69c4,b430e969f583e05e443420e35bb9635cbcb7142be1261bcf91cd3386514636f2,2024-04-30,2024-05-30,,314.3,,,DM DUPLICATA MERCANTIL
f08b1fc508dc1d036b9602230996b75ba6f7e8bbb39fb86687502bd89812fdc2,1fae763e12e03bd2be60a382a0a8178b69c8b43d4d99558bf6bef004a8e76646,84f4ad50ee3a85fee1b258d30f1cbe5e989b64ba83254ae5633d1e0fe0701c07,2024-04-02,2024-05-26,2024-05-30,3237.5,,5 - Baixa integral por solicitacao do cedente,DM DUPLICATA MERCANTIL
f91ffce6563e61fa48f15d67707ea7e360ea0c12d20c1a4011004f925d57254d,26e5a30b0612042fd462766983dcf587af52bbd0b80c8a65ef511f13f2ea3ecf,4626900d6009914f75a96b8c27a4ce7ca350a2bfffe0c1e503f1f7dc7e54bc14,2024-02-29,2024-05-28,2024-05-28,1280.46,1280.46,1 - Baixa integral intrabancaria,DM DUPLICATA MERCANTIL
4d2f5f184c0ac16e6387493ec400f59f1c54db46fc13278a4896300d5fbe23f0,c46203c92f28212eb4b5412a60b49b0c2ac5288a958acd48e274fc403bf8dc54,8527b996e7e2054122c34539aeff9d8c9e22efa3d15ba4d7541d4f563fdd1c76,2024-03-18,2024-05-10,2024-04-05,23140.26,,5 - Baixa integral por solicitacao do cedente,DM DUPLICATA MERCANTIL
0073a287f83069647c5d5a66ccb956f3e8589545f4fa12333f22734c8a060abf,bf0e84490fd703d22000dfdc1b64dca74598be9c84e960170b9a42317562bf15,da7633e54d3cdb8bef030f87c344c60f82029ac34c3996646559a77082a97fcb,2024-04-16,2024-05-17,2024-05-14,10000.46,10000.46,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
2da3c8ce9d9eab7f71e997d6e6cf0448e40409310e4f33f9dd2ce7e7d83c85f4,ff3badb01e8ad9dd6bc9785c5cfde7985ade87f7a2108cd05b2fd50ab7063efd,ec4d7302c961e165e8092132c1fc892ebe55146f4756d27da7d8002b9462cb15,2023-11-29,2024-05-07,2024-05-07,6556.16,6556.16,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
8cc0f4cabf4ad12796d996e801768148063212b10a297a8617c22f31eac29013,29a07141d9bb13974d5aadf36a884e50916b577287c53ebf10cddeb512a10255,129413d052d7e57e312fc295e204033baad7129d4b14922e88e16cfb28bb8eae,2024-04-04,2024-05-04,2024-05-07,2845.02,2938.91,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
9b9848146092117a94dca8a263ab50d9f56f82254951e1e5d5de41e76c62eaa7,ff3badb01e8ad9dd6bc9785c5cfde7985ade87f7a2108cd05b2fd50ab7063efd,ec4d7302c961e165e8092132c1fc892ebe55146f4756d27da7d8002b9462cb15,2023-12-12,2024-05-25,2024-05-27,8030.0,8030.0,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
a75b5d4369783f37fd69677bfd937bc8eb6734584d235805d8d9b2b37ae5690c,0e6103ba12727f2f7bd16439b206f493da5f25bd048aedd47c02ff248aa2fe87,27a3be33b03a695f38be5b5d095c67f75da0a6cba6bec8f6c077be74e3203a04,2024-04-10,2024-05-10,2024-05-10,940.0,940.0,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
c91dfd45ec44af41cddfee28ed0b9d29b7be953c15e625659c65c8ab911104ae,5b2374867804b96c3c6b436ce3d6ce783a257532276c9d5cf875cc426543a072,1e0245e9deaf82f2544c2e13a9a2e95292ad60cec2be329b504000e998e2b136,2024-04-17,2024-05-17,2024-05-20,2108.76,2161.46,1 - Baixa integral intrabancaria,DM DUPLICATA MERCANTIL
1736dc1c2da8b274a95a8836fa048b4fe7678775e0110e9fab0786495aa7020b,cb25524201df92e4d7c03e82694f72dd607b083b162e303635c8cad2b0ff7a56,910b6dfdd8cd2c389a2c358e2a057051e06bb5a5fd5620198c269ad1e62c6016,2024-04-08,2024-05-06,2024-05-03,2725.0,2725.0,1 - Baixa integral intrabancaria,OUTROS
4addc9f15bdc42240aeb145cbac94c45516da33568a540c766029105fea662d7,4584e5fc868f6f0143edf1e3ebe53d833dfb4cb513ba9da4953c313034837693,94b004a34f41e8ebf97623417f1462be470ca1b3d954370dfa2e26ed4be1870d,2024-02-21,2024-05-06,2024-05-06,3818.4,3818.4,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
0acfcd835db5189fe3e4582883c861af78851057e3a0ca2fa869b791e1f3dd1b,45e7b4e464d4da663e545ef9da637fc63be991737c6decd6aa1aa17ad2d6dd46,21be3be558599aa2a7d6edac4a2706aa9958bcac742187444096078cfcd082ff,2024-04-18,2024-05-16,2024-05-16,2100.0,2100.0,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
0597c6a85f47c97ebc4d3bd9d788adda140f2aec6f82e2e52ef853d1f3d53e04,633ae06d5ac7bfbc40bbc273918b4cce70aa8a5e079d9806786980d440fb108b,a5cff5d833fb9d5c2fabb8373558061980229e3c1e07d725c5202aa8be062cb2,2024-02-28,2024-05-28,2024-05-27,846.7,846.7,0 - Baixa integral interbancaria,DM DUPLICATA MERCANTIL
a2d06cfe2f5ba28b55e198f1dacf0c8fde197b97f83b06d7f8df58ba36941a47,9de3cfb70b641a97c49e089f1f6777d34e2d6b2e8e341da02f3c4c9effc45c7e,c5f78ca144b5bbccf026b61294f51d282e2dbbd6190a1f5829d5b303db873da6,2024-04-04,2024-05-04,2024-05-06,583.4,583.4,1 - Baixa integral intrabancaria,DM DUPLICATA MERCANTIL
d31c8759b8e563de2d4b27629d77c26656d848d697a7d112a65d8526a91a8bfe,f6d3b2b02d1863d098926a188aa64a1d6d5b1a47dcf44e222beb50894ca7bace,a734e7a28adaf52a7043a76585ff564032121772e0bda786283fb569b3221055,2024-03-26,2024-05-25,2024-05-27,137.88,137.88,1 - Baixa integral intrabancaria,DM DUPLICATA MERCANTIL
