data_processamento;selic_meta;cdi_diario;dolar_venda;ipca_mensal;igpm_mensal;incc_m;ibc_br;inadimplencia_total;inadimplencia_pj;inadimplencia_pf;utilizacao_capacidade;ic_br_agro;ic_br_energia
2026-04-13;15.0;0.055131;5.3764;0.33;0.41;0.72;110.02858;4.07;5.05;2.41;79.1;440.25;447.12
2026-04-12;15.0;0.055131;5.376;0.33;0.41;0.72;110.02858;4.07;5.05;2.41;79.1;440.25;447.12
2026-04-11;15.0;0.055131;5.376;0.33;0.41;0.72;110.02858;4.07;5.05;2.41;79.1;440.25;447.12
2026-04-10;15.0;0.055131;5.376;0.33;0.41;0.72;110.02858;4.07;5.05;2.41;79.1;440.25;447.12
2026-03-31;15.0;0.055131;5.5024;0.33;-0.01;0.21;109.18161;4.02;4.99;2.43;80.5;431.84;450.68
2026-03-30;15.0;0.055131;5.5024;0.33;-0.01;0.21;109.18161;4.02;4.99;2.43;80.5;431.84;450.68
2026-03-29;15.0;0.055131;5.5739;0.33;-0.01;0.21;109.18161;4.03;5.0;2.44;80.5;431.84;450.68
2026-03-28;15.0;0.055131;5.5739;0.33;-0.01;0.21;109.18161;4.03;5.0;2.44;80.5;431.84;450.68
2026-03-27;15.0;0.055131;5.5739;0.33;-0.01;0.21;109.18161;4.03;5.0;2.44;80.5;431.84;450.68
2026-03-26;15.0;0.055131;5.5413;0.33;-0.01;0.21;109.18161;4.03;5.0;2.44;80.5;431.84;450.68
2026-03-25;15.0;0.055131;5.5413;0.33;-0.01;0.21;109.18161;4.03;5.0;2.44;80.5;431.84;450.68
2026-03-24;15.0;0.055131;5.535;0.33;-0.01;0.21;109.18161;4.03;5.0;2.44;80.5;431.84;450.68
2026-03-24;15.0;0.055131;5.535;0.33;-0.01;0.21;109.18161;4.03;5.0;2.44;80.5;431.84;450.68
2026-03-18;15;0.055131;5.5283;0.33;-0.01;0.21;109.18161;4.03;;2.44;80.5;431.84;450.68
2015-01-01;11.75;nan;nan;1.24;0.76;0.92;101.81787;2.82;3.75;1.98;77.6;137.64;156.59
2015-01-02;11.75;0.043455;2.6929;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-03;11.75;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-04;11.75;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-05;11.75;0.043455;2.7107;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-06;11.75;0.043455;2.7023;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-07;11.75;0.043455;2.6807;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-08;11.75;0.043455;2.6919;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-09;11.75;0.043455;2.6583;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
2015-01-10;11.75;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
