ts,status,duration_s,bytes_read,row_count_fidcs,row_count_matches,heuristic_count,pipeline_id
2026-06-06T10:52:30Z,success,65,322898,6100,500,1,27060296378
2026-06-05T11:59:56Z,success,70,322898,6100,500,1,27013513941
2026-06-04T11:49:14Z,success,62,322898,6100,500,1,26949805361
2026-06-03T13:13:59Z,success,64,322898,6100,500,1,26887076340
2026-06-02T12:38:39Z,success,69,322898,6100,500,1,26820150606
2026-06-01T14:59:00Z,success,62,322898,6100,500,1,26762929163
2026-05-31T10:54:56Z,success,63,322898,6100,500,1,26710626061
2026-05-30T10:46:43Z,success,59,322898,6100,500,1,26681845898
2026-05-29T12:13:02Z,success,63,322898,6100,500,1,26636523340
2026-05-28T12:23:49Z,success,63,322898,6100,500,1,26574379769
2026-05-25T12:26:01Z,success,62,322898,6100,500,1,26400369348
2026-05-24T10:28:57Z,success,63,322898,6100,500,1,26358763870
2026-05-23T10:25:05Z,success,62,322898,6100,500,1,26330275594
2026-05-22T11:43:26Z,success,57,322898,6100,500,1,26285743869
2026-05-21T12:12:49Z,success,60,322898,6100,500,1,26225125720
2026-05-20T11:50:18Z,success,203,322898,6100,500,1,26160461993
2026-05-19T11:59:49Z,success,61,322898,6100,500,1,26095678701
2026-05-18T12:27:18Z,success,72,322898,6100,500,1,26033358732
2026-05-17T10:21:08Z,success,64,322898,6100,500,1,25988153801
2026-05-16T10:11:55Z,success,61,322898,6100,500,1,25959292684
2026-05-15T11:19:26Z,success,70,322898,6100,500,1,25915010582
